N,P,K,temperature,humidity,ph,rainfall,label
64,107,30,10.342539241849883,98.65169017800756,4.233010357288629,150.4281615017368,Wheat
88,42,179,30.001677663328433,46.979376541453654,9.880739218000327,251.0533662475333,Apple
70,8,166,12.342047541761596,27.091626396850543,6.223557617258992,24.304123640229264,Apple
8,61,99,17.641033745541442,71.33696156409528,5.7286760941271595,95.87097057017522,Maize
87,24,182,24.348150510209805,38.4487928622095,8.045343029224096,20.682375031388695,Apple
128,21,88,25.280964363168632,64.3769313000701,5.8289562015701275,135.56774394365783,Cotton
135,123,144,26.337029352024373,64.46204007463484,8.83295555218405,222.47171191725823,Cotton
62,75,136,13.65465564621126,52.33276459764675,6.407332635906721,242.05856849386672,Rice
138,8,91,19.888332220792144,85.90620093687366,8.105173844898783,282.7627535933078,Cotton
80,18,180,26.822071431815427,36.7871672937681,4.1877005852280735,189.16428240587865,Apple
135,7,187,37.11871084730652,52.58240287912514,8.915162787552717,90.78626892950494,Cotton
32,84,116,30.046829220830908,60.241523058823546,8.208595115379904,276.9131298600023,Rice
122,59,133,35.74002970714356,71.07172598598777,4.8549873821565805,235.53777957874456,Cotton
4,136,93,31.05659210277397,81.4215791434807,4.429830462373035,179.69111827487419,Grapes
40,124,70,26.07813549165809,47.953426327530025,5.5242710318439965,213.3879799698642,Grapes
27,28,162,14.407082378781261,69.56003719230725,9.746851750604188,276.95994669206533,Apple
134,86,135,28.267221035261382,26.952541963892646,5.143722077229175,218.04553991547223,Cotton
71,64,126,27.00268332602929,94.20773664665316,6.419214137258454,122.40811310855605,Maize
11,53,153,26.39209977735218,46.9430573522063,3.6921294445909525,218.22184023636888,Apple
32,67,88,23.10174734525663,76.7388422899737,6.042256189223888,31.197329240437828,Maize
47,114,181,24.23677283648685,15.749333041867278,7.1564480987718575,127.42352618890158,Apple
61,113,120,18.565721791848638,31.6460942898134,9.599997520050977,132.95780285307103,Maize
36,80,194,23.963930625155253,55.88909881182771,6.8071106876164125,66.38102916899203,Apple
98,34,120,14.568632445811566,89.52971222498181,8.742286887537201,26.41776359339211,Wheat
103,62,42,32.311092402923,59.34394289575823,7.001616912440964,57.079983785292505,Maize
34,121,147,14.224687077202269,93.96886147727359,3.761024085987316,201.98477583158132,Grapes
100,104,114,11.28101566477242,55.60653310612049,5.5160529612145535,243.03629094910514,Rice
130,23,184,21.538383969628995,56.1786223192917,7.1835168501190605,294.7205709780988,Cotton
0,98,50,28.022577233577007,24.298223811045744,9.583801381959196,116.28905386416142,Maize
4,117,29,21.58133128805941,83.0284369970909,8.998434302407894,186.62742378858627,Maize
102,67,25,16.88122065297821,35.23902547216737,4.961475930744625,280.5263007746039,Rice
26,120,125,25.09859856960087,91.3666740860191,4.908702912122647,66.43761521200642,Coffee
136,117,126,18.93246819403624,92.33088294841407,4.787506989528965,219.50547300328248,Cotton
14,51,137,36.039736551697686,95.12466962117688,9.40399293633602,229.88408781546738,Rice
89,61,74,35.74123807642431,58.73982206286574,8.957063379851013,44.73519897167607,Moth Beans
41,122,117,23.46925714318519,72.23006549139342,8.459253966418872,259.4273290808921,Grapes
123,49,111,18.37421262533315,80.95236568530306,6.013504731035057,246.04320309681458,Cotton
62,8,116,30.324266487533862,25.26725720394004,6.728036507512108,29.286035828526778,Maize
95,51,112,9.872017949705546,65.68231876978476,6.471723166688978,45.32146733665431,Wheat
51,51,51,22.66325497647462,16.949619512084805,5.121747888379985,33.657276501934945,Chickpea
95,82,200,18.62064311269374,56.79068317143042,6.732179495352108,113.0587018402227,Apple
131,128,95,35.6796478449946,27.316470619339555,3.6951779062576287,161.58233940901948,Cotton
28,79,22,9.15048839636233,29.731371632739283,4.343586390383739,167.9926683713868,Wheat
35,107,153,24.942194370975795,45.39409073556373,9.174173415481256,94.41135921590505,Apple
12,141,108,30.42737656714548,51.18959633761926,8.31075050900111,273.4239344637562,Grapes
70,94,155,22.962525235702003,67.59282850976811,6.206357817978157,122.37705558439187,Apple
85,73,196,11.293768480751474,20.40084398571235,6.809762318616814,32.662943358368,Apple
27,65,199,37.195872588814744,57.317491466420236,5.867992870143856,103.46313700850541,Apple
65,142,44,23.925904596182058,29.7057612017667,8.240991149828304,167.64841946727523,Grapes
44,54,142,26.734238334115133,63.361865052729804,8.51879794708531,133.4856666795285,Maize
61,7,93,15.709005655059215,68.81679665446178,8.385025217300218,96.12822030959404,Maize
133,111,184,22.91814408511867,61.876996063545434,8.124715038940478,56.50786343448024,Cotton
27,117,204,21.331165165183,77.49341390113446,4.808827767633893,247.72773102675188,Apple
27,98,65,10.986958586457925,42.86239500471751,5.663007867139065,296.9283773105253,Rice
107,122,196,11.899882323586043,79.79916688044925,6.50701078389552,111.61271311963921,Grapes
43,85,9,33.25419757286822,51.217969026904655,5.617075145136996,126.09065028109589,Maize
83,113,126,15.802742604432435,55.63986685574333,8.331617281013305,191.81443186019405,Maize
29,55,185,14.492781527760012,69.73678294445214,5.60786255519971,219.7267299764805,Apple
74,39,59,23.543414376504067,15.57882102393326,4.384685355426158,128.98421067539837,Coffee
127,50,41,31.247416235785376,70.24350304214136,6.053858893109146,271.5704057209446,Cotton
91,73,60,10.608838342506449,67.19832282020192,9.771452369807236,175.6811090056393,Wheat
128,97,191,25.64279125343707,40.64685204078207,4.945641042774886,145.2084412408488,Cotton
120,68,106,12.280944930944743,21.378308501356095,7.417815417236666,199.77502537845362,Wheat
26,53,97,9.86466268410806,21.820448692521538,6.271027518974121,284.87946981327013,Rice
120,78,201,10.340123403136749,93.39724224072965,3.9545572329556906,240.88553784923414,Apple
115,9,77,33.157591959686485,73.27802162542199,6.622410278387581,31.123650288764566,Maize
2,104,63,12.2447965219394,24.930824784283672,7.9938517033492,112.38215518570878,Wheat
102,74,6,10.118419840838925,44.67819256056595,6.784607845298041,150.8114224164399,Wheat
136,94,197,21.586676704573037,64.9535374755373,9.081478807978119,107.43588507413126,Cotton
61,8,108,33.44460938070712,85.8591666377958,5.349196906608529,214.6521419108669,Rice
50,130,192,16.462324593487615,17.754839869318733,4.051994696345376,249.70282366179754,Grapes
58,43,55,21.11400843175676,34.350449306420764,9.49401991461124,223.3139364615055,Rice
117,133,34,9.965737950861536,90.51841316540268,5.920456636980601,295.03465373826054,Grapes
95,28,15,21.913092612738374,14.788237315808217,7.188995529303254,95.76824611426208,Chickpea
112,61,112,25.666301954604304,31.320322840274315,8.568820007233255,263.24707961678916,Rice
61,104,80,25.470485969562628,96.47607913367507,5.575607448803716,233.12110091850715,Rice
51,74,171,18.50685941149146,66.75255880090671,8.08345304433671,120.68569460116461,Apple
11,45,94,18.013568875363557,36.50373753082555,4.366680638834099,224.0866231366373,Rice
38,64,127,11.913409672948658,19.761234118042893,5.364279982115233,48.93311588427265,Wheat
129,112,204,19.510510962871038,16.424455278461107,4.426148071273728,239.43470809067355,Cotton
130,61,195,11.705244331090569,35.04807684877574,8.69187557376869,167.98790751921453,Cotton
112,35,196,31.184601585591906,89.8077804846463,4.924955105451426,101.25666801317239,Apple
100,88,193,37.01520949424703,49.76857426958581,8.091382754593347,202.30608989600208,Apple
112,40,129,37.12617413466784,75.94866974827539,9.537109742372177,198.3703596426057,Moth Beans
80,112,186,34.060076101761496,92.97251304267637,6.877742138040813,78.23716991604871,Apple
112,110,126,26.34313076071688,49.091479697842225,6.956186830468401,28.450481317604265,Maize
1,90,98,29.265278359521293,30.44985390921615,6.450614835825997,140.54707915866533,Maize
129,139,107,17.12800943826809,58.47214205369507,5.585696917719314,178.3242996777491,Cotton
53,18,190,27.21849626904052,92.09519708714748,6.54419219791947,263.69626738702635,Apple
86,124,188,22.104966843644423,83.17619961584225,7.357968206507261,278.04426919003123,Grapes
128,142,166,22.874906321486428,19.661366529231223,9.81034606189222,167.00785064758105,Cotton
125,84,35,30.927075562954613,73.56126080667204,9.501693179636636,229.55736848765548,Cotton
129,110,56,17.03201598343975,63.183186931470026,9.01777893307598,142.12630970718314,Cotton
52,74,93,18.08675666147998,92.0418331657926,9.190435428511094,227.41083952726424,Rice
67,48,80,35.799540300956195,24.53340184912556,6.494234773069075,76.93482393308841,Moth Beans
122,77,133,10.44174940964839,59.92710573560047,7.707643693935775,123.15599627538174,Cotton
37,49,187,22.98052151366954,89.63379164202274,9.22842702679177,196.31538367018493,Apple
23,111,26,35.453783371909566,49.2620456597899,6.014884895944659,25.047914438767915,Moth Beans
68,88,44,26.622599828290184,55.451562925026565,9.655279861411,220.84424427422923,Rice
115,86,105,24.755086566994258,20.059618279358414,6.161030797242772,252.27886935255037,Rice
97,111,115,16.092530033497173,37.92035307860633,7.34692905851658,130.9613817841185,Maize
138,25,133,18.82364428068189,41.90757182852947,8.04275016494318,144.52799197525167,Cotton
96,11,69,33.67981374149703,95.28053059206027,9.583788883686005,256.65645499619563,Rice
123,74,195,25.12916944763898,38.30939300653968,5.0655441539345025,235.6319886206373,Cotton
69,131,186,23.830472057697975,53.634711233190075,8.27523826072731,100.10555795127826,Grapes
92,124,174,11.707727635368846,71.73218042652806,6.833219751322126,110.06535762410783,Grapes
2,132,153,9.268022168489596,27.947770027077453,5.218765699972103,208.72814860458587,Grapes
89,61,83,36.93960750966183,55.8340452942012,8.470283774696899,176.5690697005888,Moth Beans
95,62,26,19.807996084775777,77.51435739492806,7.034222593112618,65.09982076482615,Maize
51,25,170,26.413821413305527,88.54954832032767,7.730232452157925,106.16051476570826,Apple
127,86,103,11.127680137068722,67.8582976209687,5.5665668388985665,270.1953509722658,Cotton
38,73,12,28.74693714311296,71.53860231725753,6.580153291696672,211.31249340878924,Rice
81,135,194,36.03094789421406,24.86037864227293,7.451067206323629,294.1008603165744,Grapes
103,91,179,25.609425387524656,95.33677876318586,6.091429211327002,233.2294833346539,Apple
128,53,21,12.48256741336199,25.40137066366548,4.769584255025288,281.8688921359181,Cotton
10,119,21,25.78626860222552,80.62187259763465,9.654499150817946,80.10042353599216,Maize
41,93,94,31.17733862265585,36.774203672935414,6.773392256272752,234.47279519910535,Rice
98,89,145,20.667362867961344,94.28901035830764,8.197090369841284,25.620470601087685,Maize
6,132,149,34.49126223989086,75.91652038577524,6.130702038758772,206.47128603580643,Grapes
89,144,170,27.74154223803504,78.82797931613973,5.772843289764585,150.4604733174271,Grapes
111,121,85,35.05806841404471,32.83908888314997,6.1058515101896,116.39929999377908,Grapes
59,131,82,27.006355088422247,52.10143799062383,6.118858520228159,259.74840993747875,Grapes
112,75,177,12.633608782540868,67.13193473467862,6.982752742028503,257.4864185587935,Apple
1,90,10,17.842997964271525,80.21773116576767,6.978207167880724,26.199873961822917,Maize
128,37,167,14.692412488971742,22.940506328465503,6.681784421650379,189.44242404094183,Cotton
47,85,114,35.33773373333238,96.76341721508945,4.362629023471603,122.25735836122588,Moth Beans
139,65,18,31.003681964794495,90.55897766769182,6.674883062403399,135.55375841712487,Cotton
36,65,76,28.550832372172177,37.24997878262025,4.58226496269217,251.3073255028197,Rice
8,102,193,17.588216533243354,84.75738090078055,4.307269032292897,106.13545648469456,Apple
98,32,147,14.174107343866236,58.57585738142482,9.468932590983474,282.1675693572584,Rice
47,47,58,30.888371769276226,53.7153574143336,7.371680084145307,69.93820373145513,Maize
130,90,31,22.645412019669127,41.041333099780864,7.720736371997339,204.23683369635341,Cotton
53,21,17,15.39305492279837,63.96329845031695,6.0714794901335285,206.8452086298266,Rice
119,102,163,26.80536176242603,76.77046412250941,9.317477708255131,90.11025487696126,Apple
115,102,167,9.977748482442799,49.34022982679721,7.582755133309859,110.28066929288215,Apple
74,69,64,18.324171420545003,68.11285059871312,8.422687164950961,252.07398093722344,Rice
112,78,10,22.481864242061132,74.14091121935613,5.858799801777369,231.7818608774768,Rice
103,89,201,13.120383355994651,75.15647626331459,9.644076037242403,111.48865472750316,Apple
83,9,62,37.55191074565252,18.469084439281502,8.750952257013218,168.4399200479116,Moth Beans
111,6,53,14.905643046016737,87.93831128891576,8.96527016329308,37.147122358360534,Wheat
98,26,155,12.606311397263354,53.409785069794125,4.602043311524827,78.03135530681892,Apple
92,116,166,14.743218317497377,36.56778302587444,5.234164530375805,155.05811536319095,Apple
127,61,30,31.256585088263947,34.79174764325262,5.328010237974893,43.90069840762082,Cotton
109,70,51,21.22476525073781,55.53921370457974,5.233819028779975,254.44639465995863,Rice
81,78,9,25.31014544077411,90.2675123943305,8.974612237467444,219.60572640992612,Rice
53,102,24,9.413467384001734,46.53789202470764,3.7040626893349895,282.33016044028153,Rice
67,116,138,9.805394210340786,78.47641422338472,3.9870399294769556,212.78379985799955,Rice
32,129,202,21.81810605494887,22.3264108649008,5.253055172031384,281.43158148888756,Grapes
20,90,63,32.64633310148741,54.94087638499131,4.779187037756439,174.15449048208828,Coffee
47,80,196,34.648975258260904,99.28500807377526,4.98390152885023,186.8607738752275,Apple
127,92,150,11.331831773792695,80.25765104014098,8.60683641122112,291.59795318610054,Cotton
135,42,136,24.520202581349864,32.10545000589272,7.1040102009091,198.5119028282644,Cotton
134,63,21,35.4663068393547,57.12396673802032,3.536932232274995,28.558666143287553,Cotton
127,142,18,20.128804428418285,34.091729673776726,6.24766570050685,221.21717190328548,Cotton
32,103,17,33.02332227770836,49.222239744575795,6.1104635318422975,271.7202964142016,Rice
114,67,139,12.703913108463539,81.08722604120697,4.229249724445078,241.1713094428228,Rice
118,53,132,36.11351909829972,80.32533411497471,7.827307447049326,182.3056497898675,Moth Beans
21,36,48,30.741560871914036,33.61663249960512,7.9934220056287435,206.62237663999753,Rice
37,139,123,36.28696426937753,93.31120536131797,8.113716601933426,295.27331741196474,Grapes
108,25,147,28.55722321973319,64.96086371777511,8.162214051574988,45.204060605596055,Maize
50,24,23,19.411394814383268,46.67348902273325,3.5003380923666993,205.4940623600406,Rice
7,131,67,36.19489023772189,57.16645994715402,9.605093144619023,98.78455909062508,Grapes
26,72,167,16.84654986822801,66.03612779564597,8.710936109149845,197.9451302509553,Apple
26,114,85,18.49943764420259,62.15058573873755,9.285482858171427,188.91935409573497,Maize
20,120,167,29.26360580565082,55.830833056111324,3.6001170899675783,62.66099932606906,Apple
29,124,151,31.14723594614128,57.42422115168841,9.476696293028732,77.47556751578648,Grapes
96,83,152,35.93858172839529,29.17142429679821,8.68264658360387,192.81302269601335,Apple
27,120,104,14.780230344441318,83.89502977020243,8.858202514935671,55.647925350449206,Wheat
110,96,167,32.10154262840134,60.59138751492732,4.097039262220599,93.72028328622974,Apple
60,18,164,30.365544759191334,25.272868106604466,8.228179385079025,252.19826227116468,Apple
47,129,126,10.662801042605059,79.88951073611891,9.643466813709383,110.93143866845553,Grapes
3,62,180,20.10691572333804,94.19018214045217,7.842702985076229,155.6807234429663,Apple
34,32,48,17.05675134615488,95.46839333437875,7.151592989597482,281.6370131705436,Rice
48,30,108,17.691120391137687,45.73552498736086,9.55202993759358,83.14744669667107,Maize
16,117,156,37.502048882997265,25.65445112622485,6.334797579100391,128.3160328255269,Apple
45,70,65,27.569100473613894,58.58236789044361,7.335478824387064,188.59526160110568,Maize
116,135,129,29.756143807570187,23.68439372403298,6.548565078363944,229.98422240210428,Grapes
5,48,149,37.317235009598264,94.32291799208508,9.470215816705915,270.65964150613206,Rice
98,101,75,19.81429204776305,29.787847952542556,3.9869422512992463,274.5014905454372,Rice
123,46,111,32.21373291882193,35.73786395580011,6.707166085282228,235.9059406755892,Cotton
36,10,54,21.488304128491265,48.97074131210746,7.896495624866805,83.4759725729403,Maize
23,27,69,34.190383216997404,46.95214429608482,8.568201845902315,26.896993751833293,Maize
92,93,103,14.075200206290052,82.34100874621845,7.231319343642473,126.68915263886342,Wheat
45,127,36,36.47243637027697,53.24324656738276,9.317073562377306,59.35058057461489,Grapes
94,55,168,15.188133885597686,28.686070360286973,9.52874526005678,217.48776598784687,Apple
98,15,145,18.3256388038432,36.980051011802374,3.9116430284389345,203.79430313754926,Rice
115,16,202,30.88081323591799,57.783751126126894,6.075171453064796,32.22411637076445,Apple
66,78,62,20.297650133709876,26.6810368986476,3.6501377390153884,252.5730705984044,Rice
127,12,132,26.55977220158024,66.60238810555721,5.608266607196435,89.15062802894867,Cotton
17,45,146,21.781546231227313,62.65426836339855,6.935956595011854,140.15912698650973,Maize
24,89,169,30.47720216302163,75.46439920887417,9.329087555263673,205.6855784566964,Apple
53,76,116,15.467272569163438,94.64259692262561,8.917947663778579,139.3784227449264,Maize
57,59,72,10.50697322731681,92.45389225469938,4.315998250700709,142.67800917838426,Wheat
66,141,44,17.557938406213534,95.36250315391949,4.095394398341733,38.24458270333582,Grapes
103,51,191,22.649813014158163,35.045541344038284,7.27131096804267,131.60130669428105,Apple
23,108,148,13.706185524026214,25.314616370984496,6.905555023736209,232.6277143151554,Rice
113,46,194,19.16008085796655,39.99579624269457,5.2048169051521525,274.4190217378742,Apple
31,64,136,20.479504134172203,90.97732485790306,9.256499741144545,134.95220410361736,Maize
85,16,177,10.475841835697588,97.59659881761999,9.435145020553943,137.75685987238393,Apple
126,134,94,25.832571646978774,87.90194579206094,6.076713205377041,215.33033555797527,Cotton
129,11,32,34.622828096761594,23.46152401696875,9.19793636552653,282.0906163072669,Cotton
16,84,100,13.230893058229132,95.47880783314221,5.957272923283025,94.24294138654214,Wheat
103,135,198,26.25599399132421,50.40879035216759,8.215627723710082,142.36008941754645,Grapes
136,113,35,28.210384783396712,14.800685005562416,6.546030192305435,241.28056170753973,Cotton
42,7,7,21.04457266824322,52.04586170434465,4.2845322016459715,189.4948122859827,Coffee
38,31,140,29.272049551036684,17.961948592090213,9.43877888791694,50.74300362197941,Chickpea
25,118,28,20.793361069937554,60.77350121985611,6.4062181976162345,194.50970048630987,Maize
98,111,19,23.5354088089411,43.115646359586414,8.200717058063383,71.91546711805688,Maize
49,44,175,9.014708900989268,54.71540428908819,5.84991241236027,161.84002967379635,Apple
12,133,163,28.998227332732913,66.73265102390806,3.620837622887902,167.0907084096019,Grapes
59,12,49,28.111206225185953,88.71689424033255,4.14339429562775,263.5845346985458,Rice
134,105,198,9.921305617929262,70.92353557658586,6.675804668735516,148.5734081754578,Cotton
56,128,12,19.55290313593789,51.32820268912354,7.915771885608719,97.6849933815786,Grapes
35,111,75,37.38772975111669,84.4707954156514,5.642306090107386,84.20864480405677,Moth Beans
19,105,112,21.08550762700361,91.88006383128938,7.951126138736963,263.04202171824545,Rice
64,8,119,23.456805829849777,24.29935711316896,7.971267772364519,67.54101752826749,Maize
7,114,107,35.36996061826378,59.74623606954007,8.005189806898118,138.39145992551397,Moth Beans
114,23,129,29.744046775280086,38.468028537850195,6.652139865731254,72.03412594969126,Maize
91,36,61,25.79644782882733,18.047263017417478,9.355271360777625,234.97852315179637,Rice
97,141,34,32.09589669515932,71.49501577980274,6.6308577150759405,151.87559391294408,Grapes
65,16,150,34.03949498051442,88.1982868614934,6.381697238378484,117.61794597479376,Maize
31,143,118,22.141131694728195,28.00962828505589,4.776037241668012,120.38570009415778,Grapes
85,50,201,22.673164256009592,83.86757455565544,5.4689925590805535,256.9155494689883,Apple
50,123,121,20.072687321033605,87.39203308417699,3.7709407521171414,173.9491592938538,Grapes
62,20,171,37.02781928853905,92.63327806931758,7.554625879143489,219.56726261449128,Apple
124,133,64,29.15725462527823,36.81451766140051,5.090628761133394,269.3767075176903,Cotton
57,67,102,11.230113533275713,91.73996360633048,5.446593628706976,270.68418593929846,Rice
57,113,175,33.99842100074014,41.57699690733317,8.433212938651657,111.32551710592595,Apple
85,123,130,22.832350272419028,61.50106915717324,5.5942155722333045,284.7814511546951,Grapes
48,25,177,10.807614067536635,18.34364249157626,5.05005370888411,26.915495200060313,Apple
69,17,155,24.85174385076868,17.77377359971195,4.581969594455717,124.76028596249405,Apple
14,8,201,20.9811969460905,75.95209629496945,8.459093773964518,269.032082387458,Apple
53,106,98,34.430282621988646,52.22527810609003,4.330120051136172,96.34905258912126,Coffee
100,63,138,14.756642425394112,36.04114428175271,6.404024065602263,95.9166431893265,Wheat
7,132,188,32.93276659717174,30.375560658142277,6.744352742894044,104.12899525276507,Grapes
52,31,126,25.08450978261522,71.61600021389276,7.899295441188573,190.2231209874444,Maize
59,73,112,10.394620853833297,14.034532786179229,7.553014286931171,141.85651162079034,Wheat
107,29,8,37.17788279870415,83.30664055092946,8.68861230684912,222.03228450622925,Rice
4,135,97,23.76836512781344,20.815466127173877,3.7864091771279242,268.7851586329771,Grapes
102,101,155,17.29360414356221,30.468106882098272,5.397220638588142,207.42742623411525,Apple
5,29,10,22.506679786086337,47.21632999572171,5.29285836016243,76.84174821492599,Maize
108,130,36,33.84944727871068,55.69785161558491,4.434508195789492,279.2855688562196,Grapes
115,137,110,17.703171232043857,44.529579959999,5.350740824681236,93.52901879059903,Grapes
93,13,150,14.42615077741165,41.581246188649274,5.482498010514582,61.670614101227955,Wheat
46,120,19,12.56888041038174,96.8967770382942,6.840060556335861,45.010903523347125,Wheat
98,138,172,17.497494432994166,69.17585258693191,7.747708665128039,176.62067990519404,Grapes
54,64,126,31.577404141569268,16.015234161595387,5.93904328711561,51.6259645696212,Chickpea
51,125,100,22.571489863701643,50.995128126210936,8.104609480405639,58.57969578331135,Grapes
12,143,10,15.442462827851369,89.25074817798144,5.651458166909312,103.40847360554807,Grapes
113,112,116,13.652601988604676,39.92523203131745,5.357815534814466,98.29953669228094,Wheat
123,112,124,18.51570071410307,22.131845650597388,6.963603557484956,187.97858387233555,Cotton
105,135,127,36.2457916882627,79.22109035673293,3.65178470595706,247.05518769340546,Grapes
119,80,195,18.816380007628712,66.117189546503,4.010650391257602,231.6552044244041,Apple
